,tweet_id,text
0,862323776515715072,"What are your Top 5 Movie Soundtracks? garthtrinidad is partial to Jon_Favreau, loves #TheGraduate, and 3 more"
1,862313788305018880,Hearing fab #reviews for #TheGraduate WYPlayHouse
2,862269691888357376,#Filmmakers: Behind #TheGraduates Leg Shot: #DanielRaim on #HaroldandLillian: A #Hollywood Love
3,862268678477422593,Tonight's performance of #TheGraduate will be captioned.
4,862265310916825089,"from yorkshirepost on #TheGraduate \""... funny and beautiful from start to finish\"" Book your tickets here"
5,862128094353772544,The DIVA herself missshorty3
6,862128082366472193,The DIVA herself missshorty3
7,862127895526899713,#glittetVINYL #poppin #thegraduate missshorty3
8,862127708733669376,I got you right missshorty3 ... SHIPPED! #thegraduate veesrhinestoneshirts
9,862127694607253504,I got you right missshorty3 ... SHIPPED! #thegraduate veesrhinestones
10,862127479628206082,Reppin' the BRCC.. one time for my girl missshorty3 #thegraduate #C/O17
11,862127464914579457,Reppin' the BRCC.. one time for my girl missshorty3 #thegraduate #C/O17
12,862106312691167232,"STOP what you're doing and WATCH #GREATNEWS. See blizzards, firebugs &amp; an homage to #TheGraduate (I'm MR. Robinson)."
13,862054639881113600,Vision without execution is hallucination
14,862042047955513344,How many WYPlayhouse shows squeezed into 1 week?
15,862019477277421570,Really enjoyed WYPlayhouse #thegraduate I can recommend
16,861974889808482305,"#TheGraduate  Florence, South Carolina"
17,861918667965169664,Huge contrast from yesterday's pic!
18,861904597518086144,'#Aitraaz' poster is copied from 'The Graduate'
19,861890113881726977,"TheStage \""Smart revival with a satirical edge and a brave performance by Catherine McCormack\"". #TheGraduate o"
20,861882533503533056,The latest Paul Ferris Theatre &amp; Entertainment News!  Thanks to British_Theatre
21,861770411280826368,"#SanLuisObispo #UnitedStates  -  Your Friends Presents \""Drezo and Bijou\""  The Graduate    #TheGraduate  #music..."
22,861713828010237953,Saw #TheGraduate at WYPlayhouse this evening. Stylish and slick. Terrific set. And a powerhouse performance from Catherine McCormack.
23,861702192935444480,Absolutely loved #TheGraduate WYPlayhouse tonight. 'Sad and sexy' is the best way I would describe at first breath...
24,861599160843341826,'#Aitraaz' poster is copied from 'The Graduate'
25,861572402073018372,The latest The Gary Daily!  Thanks to arcolatheatre equity_events KateMalyon
26,861552694955311105,"REVIEW: The Graduate, West Yorkshire Playhouse   wyplayhouse"
27,861548235550212097,'beautiful from start to finish' 5/5 from Yorkshire Post #TheGraduate continues this evening
28,861475765254311936,"Do you have tickets for #TheGraduate yet? Read more about our Mrs Robinson, Catherine McCormack in TheStage"
29,861469784449269761,Check out #AG #AdrianoGoldschmied#THEGRADUATE 32X32 #TailoredLeg #Blue #Pants Jeans Mens  eBay
30,861427899546574849,France's first couple. In US they're an item on Smoking Gun. Gives hope to school teachers banging 13 year olds eve
31,861365673666195456,#thegraduate ice_stephens12 #congrats my man!!!
32,861365655962038272,#thegraduate ice_stephens12 #congrats my man!!!
33,861360813386461187,"Graduate T-Shirt - Men, Women, &amp; Youth sizes   amazon"
34,861354887539511296,you already know what time it is. Time to take off lil sis
35,861318623054278656,"Ladies and gentleman,"
