,tweet_id,text
0,862294363606536192,7:30 Stephen Colbert's Quest For The Greatest Show On Earth  #Circus #LSSC\u2026
1,862031527936499712,TheDougChristie Happy birthday to the player who bright defensive to the 916. 1st jersey I  bought and still have.
2,862014474806579200,7:30 Stephen Colbert's Quest For The Greatest Show On Earth  #Circus #LSSC\u2026
3,861493172698050561,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
4,861491211613425664,7:30 Stephen Colbert's Quest For The Greatest Show On Earth  #Circus #LSSC\u2026
5,861470267662639106,RT ASAPshahrazad: Legends of the African Isles
6,861436314218106880,Ginuwine's A True #Legend #20YrsOfRnB #Ginuwine #TheGreatestEntertainer #TheGreatestShowOnEarth\u2026
7,861435301037834241,It's Ginuwine's Time! Enjoy The Ride To #TheGreatestShowOnEarth Photo Courtesy Of devmaticstu
8,861410829773799424,"A spectacular, beautiful and emotional ending for RinglingBros DunkinDonutsCtr #Goodluck #RinglingBros #Circus\u2026"
9,861410093828636674,RinglingBros Thank you RinglingBros for the many years\u2763\ufe0f
10,861361243906506758,"Rochester,NY...it's your turn. Come out and witness #thegreatestshowonearth \nThe lineup is super\u2026"
11,861325776343511040,RinglingBros watching the last shows in #CharlestonWV #TheGreatestShowOnEarth it's a sad sad day
12,861253389962715136,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
13,861252496379052032,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
14,861252226056114176,7:30 Stephen Colbert's Quest For The Greatest Show On Earth  #Circus #LSSC\u2026
15,861157088898064384,Thank you StephenAtHome for that epic Daily Show Reunion!  colbertlateshow is already #thegreatestshowonEarth \ud83d\ude0d
16,861003113158803457,"Thank you, RinglingBros, and farewell.  \u2661\u2661 \n"
17,860987750144757760,\ud83d\udccdAustin Texas my big brother is in yo city #TrapGodTour ! Come See #TheGreatestShowOnEarth gucci1017 DjChamp00 \ud83d\udcaa\ud83c\udffe\u2026
18,860985879053164544,\ud83d\udccdAustin Texas my big brother is in yo city #TrapGodTour ! Come See #TheGreatestShowOnEarth gucci1017 DjChamp00 \ud83d\udcaa\ud83c\udffe\u2026
19,860979957480120320,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
20,860970387261186048,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
21,860962736947290112,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
22,860958428121976832,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
23,860956890926170112,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
24,860951714630914051,RT a35362: 7:30 Stephen Colbert's Quest For The Greatest Show On Earth
25,860951260597497859,7:30 Stephen Colbert's Quest For The Greatest Show On Earth  #Circus #LSSC\u2026
26,860944776358658048,I'm an adult I promise. #Barnum&amp;BaileyCircus #TheGreatestShowOnEarth  Dunkin' Donuts Center\u2026
27,860934272630370305,RT ASAPshahrazad: Legends of the African Isles
28,860933978471231488,RT ASAPshahrazad: Legends of the African Isles
29,860842961671729152,#theGreatestShowonEarth  Dunkin' Donuts Center Providence
30,860170089722765313,Was a real pleasure photographing the extraordinary artistes giffordscircus X #thegreatestshowonearth!\u2026
31,860151310452224003,RinglingBros provided #thegreatestshowonearth for cancer patients to enjoy through F3-sponsored LittleWonderInc\u2026
32,860148030464417793,#TheGreatestShowOnEarth is the best awful movie I've ever seen. I love #BettyHutton but find her so annoying in this...wanna smack her.
33,859500377883987970,Tickets for the LAST circus...it's sad to think there will in a few years there will be kids who will never know
