,tweet_id,text
0,862361278953783301,"So, I just learned that a sequel to #TheIncredibles is apparently a thing. Word is it'll be out June 15th 2018. First one was great. :D"
1,862342196825083905,Love my latest DisneyStoreGBR mug... this is number 8!
2,862331167076491269,The Incredibles (2004) Full Movie HDDownload Now:
3,862326248910999552,"elonmusk reviewero The 'First' was pretty awesome, just a little out of controlPerhaps if it had been autonomous"
4,862272361554481152,Happy 24th Birthday to Spencer Fox! The voice of Dash in The Incredibles.
5,862204050762342400,"The Incredibles (2004) on #VidimovieTrailers, Clips &amp; Reviews:"
6,862139312615419904,"The original Avengers action shot, 8 years before THE AVENGERS."
7,862118559526387712,Tonight's family movie: #theincredibles. I forgot how truly great this film is!!
8,862054017236643840,8 May 2017 post on My Instagram  #theincredibles
9,861994177781006337,New video is out make sure you check it out  #theincredibles #dash retweet_videos
10,861970572103868418,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
11,861917520101482496,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
12,861898912323555329,Watch The Incredibles (2004) on #NOWTV (14-Day Free Trial)Here's the link:
13,861855865158213633,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
14,861829575843737600,Who wore it better?
15,861813409762787328,"#NERDSoul x #BHLonline#Pixar #TheIncredibles 2 #Movie #News Update, #SamuraiJack XCIX #Review &amp; #Toonami Turns 20!"
16,861813136973717504,"ThatNERDSoul x BHLonlineDisneyPixar #TheIncredibles 2 #Movie #News, #SamuraiJack XCIX Review, #Toonami Turns 20"
17,861812995655159808,ThatNERDSoul bhlonline DisneyPixar DunkinOnSports AFullTangDesign #NERDSoul x #BHLonline#Pixar
18,861812610877898752,"ThatNERDSoul x BHLonlineDisneyPixar #TheIncredibles 2 #Movie #News, #SamuraiJack XCIX Review, #Toonami Turns 20"
19,861785548012175360,Currently watching #TheIncredibles for the story...yeah that's it
20,861773520438800384,#theincredibles  Randal Park
21,861729004793057280,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
22,861704832138268674,Is it just me or down the new #itclown look like #syndrome from #theincredibles
23,861581653851942912,Stream The Incredibles (2004) on GeekerMoviesWatch Now:
24,861438526008832000,Good night Flash Fam talk to you in the morning! (FBfind) Do you remember #TheIncredibles?
25,861367441833766912,"\""Girls, come on. Leaving the saving the world to the men?? I don't think so.\"" -Elastigirl #inspiration"
26,861335118820106240,The Incredibles (2004) Download Full Movie HDDownload Link:
27,861333060624764928,Killer Frost and Frozone should hang out. CW_TheFlash
28,861327239304159232,"Ever notice that all super heroes are great seamstresses? Really, only #Pixar #TheIncredibles touched on someone else making the outfits."
29,861299686820511745,#MichaelGiancchino is Back to Work on #TheIncredibles2!! #TheIncredibles #Disney #DisneyPixar DisneyStudios
30,861285661164351491,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
31,861279216465096704,"Watching a movie. #catherinezerola #theincredibles #totallymykid  Escondido, California"
32,861233444755562499,Watch The Incredibles (2004) Free Online Link:
33,861155834931314688,"The Incredibles' Edna, Gawd bless her,  like Yoda in a Coco Chanel wig"
34,861110366016856065,The Incredibles (2004) Watch FREE OnlineVidimovie Link:
35,860931450090258432,Bored? #Marvel fan? Watch our superhero double feature #Super from JamesGunn &amp; #TheIncredibles from BradBirdA113
36,860929227771793412,Very cool mural. #totoro #transformers #miyazaki #pokemon #charzard #theincredibles #dragonballz
37,860921064641228801,mteaston Caitlin going all Frozone from #TheIncredibles. lol
38,860879129037737986,Where's my super suit?
39,860849742426890240,'the Incredibles 2' Is Underway! (pls RT)   #TheIncredibles #SamuelL.Jackson
40,860819870031663106,"Spent the whole day at the farm, watched #Moana #TheIncredibles #MonstersUniversity and finished with #Chef. Saturday spent well."
41,860815630466985988,I'll always will repeat myself. If you really wanna know how to do a GOOD #FantasticFour Movie... just watch &amp; rewatch #TheIncredibles
42,860809390642909184,Watch The Incredibles (2004) on #NowTV (14-Day Free Trial)Watch right now:
43,860752060719013888,Watch The Incredibles (2004) on FlixanoStart Free Trial:
44,860723533487284224,"When you're watching #TheIncredibles &amp; remember #ElizabethPea voiced Mirage &amp; passed away in 2014, so now you're left feeling depressed"
45,860653794694230016,Disney Characters Day
46,860632401881464832,Watch our Dash VS Mr Incredible Disney Infinity 3.0 Toy Box The Incredibles Versus Fight
47,860629783805296641,I'm so tired of being myself
48,860604302645223424,#KillerFrost is going all #Frozone this week
49,860577383103033344,Brad Bird will maintain all three of these roles for #TheIncredibles 2 (2018). #TodayILearned #TIL #FunFactFriday
50,860554699778523136,Did you know #TheIncredibles was Pixar's first film with an all human cast? 10 facts about the film here:
51,860313511339196416,New Super Suit arrived!  Thanks Edna!
52,860255855438069764,Watch The Incredibles (2004) HD MovieWatch Now:
53,860178837187026944,The Incredibles (2004) Download Full Movie HDDownload Link:
54,859997007175438336,"The Incredibles (2004) on #VidimovieTrailers, Clips &amp; Reviews:"
55,859957383241412609,When Caitlyn Snow imitates Frozone.
56,859910143802306560,autumnnoelkelly Not like we've seen this anywhere before cough #theincredibles #frozone #killerfrost #TheFlash
57,859865160139321347,A splendid table. #GrammyLAChapter #friends&amp;family #theincredibles #ofservice #advocates
58,859781419349966849,Watch The Incredibles (2004) Free Online Link:
59,859706845606313984,Watch The Incredibles (2004) on #NOWTV (14-Day Free Trial)Watch it here:
60,859619960003473410,#TheFlash Vs #TheDash (From #TheIncredibles) - Who is faster? RT for Flash Favorite for Dash GO!
