,tweet_id,text
0,862350304251138050,"RT SPFdrama: Really proud we make so many of our props &amp; costumes. Giant puppet for #TheJungleBook, by 3 Y8 girls SPFSeniors SPFvisualar\u2026"
1,862332844982620163,"Really proud we make so many of our props &amp; costumes. Giant puppet for #TheJungleBook, by 3 Y8 girls SPFSeniors\u2026"
2,862265224216367104,Watch The Jungle Book (2016) Free Online \nLink:  \n
3,862184718393126913,"Banglay Prothombar, World Tv Premiere #TheJungleBook #Mowgli 14th May at 2pm only on #StarJalsha &amp; #StarJalshaHD\n"
4,862174021764485120,Interesting Facts About The Jungle Book
5,862095513608491008,Interesting Facts About The Jungle Book
6,862032429833478144,One of my favorite songs from #TheJungleBook awesome job EGE 5th graders!!!
7,862030868788858880,"Banglay Prothombar, World Tv Premiere #TheJungleBook #Mowgli 14th May at 2pm only on #StarJalsha &amp; #StarJalshaHD\n"
8,862030706247184386,RT TheNeelSethi: #TBT to the #MoCap crew on
9,861943871193919488,"I was ignored!!!!  #thejunglebook grabbed all their attention...  Darling, Western Cape"
10,861930452675964932,"RT gagansoni9602: My favourite book #TheJungleBook story from to #Seoni forests, favourite character #Mowgli.\nThanks to #RudyardKipling .\u2026"
11,861926043241897987,"RT gagansoni9602: My favourite book #TheJungleBook story from to #Seoni forests, favourite character #Mowgli.\nThanks to #RudyardKipling .\u2026"
12,861924497707978752,"RT gagansoni9602: My favourite book #TheJungleBook story from to #Seoni forests, favourite character #Mowgli.\nThanks to #RudyardKipling .\u2026"
13,861898109067984896,Fastest 2Cr+  at Kochi Multiplexes\n\n1. #Baahubali2 - 11 Days\n2. #Dangal -15Days\n3. #PuliMurugan - 16Days\n4. #TheJungleBook - 19Days
14,861859870630436864,The Jungle Book (2016) Download Full Movie HD\nDownload Link:
15,861858041779671040,Illustration of The Jungle Book
16,861841919361470464,#TheLionKing #thejunglebook. What role could #disney films play for an autistic child? Rent #lifeanimated today:\u2026
17,861840634163998720,Mymarketplace New Blog Post: The Jungle Book
18,861803787576643584,#FastandFurious a blockbuster in TN.\nMovie collection wil end up as all time 2nd highest collected Hollywood movi in TN below
19,861758564683198464,Fastest 2Cr+  at Kochi Multiplexes\n\n1. #Baahubali2 - 11 Days\n2. #Dangal -15Days\n3. #PuliMurugan - 16Days\n4. #TheJungleBook - 19Days
20,861692856091774977,Walt Disney #TheJungleBook Original Cast Album LP 1967
21,861682026000330752,RT CultureSpotMC: Swing behind the scenes of #TheJungleBook at I_Stage with the latest story in our #KidsCorner:
22,861679927124537344,This evening's retro classic courtesy of Walt Disney #thejunglebook\u2026
23,861615857688031232,Is #TheJungleBook on your must-watch list? It should be! Here's why:
