,tweet_id,text
0,862347830953787392,"Crocodiles are snapping up fresh offers from the banks, showed interest in my nest egg but I quickly said, \""No thanks!\"" -Zazu"
1,862342840608845824,black delegation must protect donaldglover at ALL costs.
2,862340375637147648,Flamingoes in the pink and chasing secretary birds. Saffron is this season's color seen in all the herds. -Zazu
3,862339638236729345,So so so so so proud of you my little twin stars #thelionking #mentarishow  Mentari
4,862339450772312064,I'm **so** happy that donaldglover's career is exploding. #SpiderManHomecoming; #TheLionKing; #HanSolo #Atlanta; and now #Deadpool.MY BOY
5,862332746831609856,"Simba: \""Hey, Uncle Scar! Guess what!\"" | Scar: \""I dispise the guessing game.\"""
6,862330665441820672,New cast members for West End production of #TheLionKing lyceum_theatre TheLionKing DisneyOnStage
7,862325246040223744,Danger? Hah! I walk on the wild side. I laugh in the face of danger. Ha ha ha ha!! -Simba
8,862317655063011332,He found his aroma lacked a certain appeal. He could clear the savannah after every meal. -Timon
9,862310261213978624,I wonder if its brains are still in there. -Nala
10,862303631487401984,#WifiWednesday - an #equation for #success : #WifiTheDog + #TheLionKing +
11,862302562594111488,I left to find help! And I found you. Don't you understand!? You're our only hope. -Nala
12,862295095151702016,"Dad! Dad! Come on, Dad, we gotta go. Wake up! -Simba"
13,862293678701805570,One of the cutest performances we've ever had! Tomorrow night at 6:30 at St.Mark's!
14,862287456057442304,Mom! You're messing up my mane. -Simba
15,862280044265132032,So how are we gonna ditch the dodo? -Nala
16,862272354897895424,"Run. Run away, Scar. And never return. -Scar"
17,862264975816925185,In Remembrance of FRANK WELLS. President of The Walt Disney Company from 1984 - 1994
18,862258874962849792,Seth Rogen and Billy
19,862257263272091648,"Simba: \""Man, I'm stuffed.\"" | Pumbaa: \""Me too. I ate like a pig.\"" | Simba: \""Pumbaa, you are a pig.\"" | Pumbaa: \""Oh. Right.\"""
20,862250364279689217,Interesting Facts About The Lion King
21,862249804121776129,"Simba: \""Hey, Uncle Scar? When I'm king, what'll that make you?\"" | Scar: \""A monkey's uncle.\"""
22,862234695148294144,The only checking out you will do will be to check out of here! -Zazu
23,862219657079435264,Long live the king... -Scar
24,862217400887857152,A skinny cap called Simba
25,862214149115445248,Check out my new Concept Art and listen to me talk about it  #VFX  #jonfavreau #thelionking
26,862204510206218240,I'm only brave when I have to be. Simba... Being brave doesn't mean you go looking for trouble. -Mufasa
27,862190105137688577,Mufasa would be proud.
28,862189410225278976,Oh... this is so humiliating. -Zazu
