,tweet_id,text
0,861909186707378176,Watch The Passion of the Christ (2004) HD Movie\nWatch Now:
1,861831524127080449,rendikur8013 Indeed and i looove this move
2,861796509347713024,"The Passion of the Christ (2004) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
3,861721644095733760,Watch The Passion of the Christ (2004) Free Online \nLink:  \n
4,860731236628795392,The Passion of the Christ (2004) Download Full Movie HD\nDownload Link:
5,860701755620851712,"The Passion of the Christ (2004) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
6,860267140120793089,Watch The Passion of the Christ (2004) Free Online \nLink:  \n
7,860132662073229312,The Passion of the Christ (2004) Full Movie Streaming\nWatch Now:
8,859601777225863169,"The Passion of the Christ (2004) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
9,859442726407983106,The Passion of the Christ (2004) Download Full Movie HD\nDownload Link:
10,859189451247026180,Watch The Passion of the Christ (2004) on Flixano\nStart Free Trial:
