,tweet_id,text
0,862066903052832768,"Touch, touch, touch me I want to be dirty... #TheRockyHorrorPictureShow regresa al Autocinema. BOLETOS:"
1,861862042763841536,"Musical day. #ThePhantomOfTheOpers, #TheRockyHorrorPictureShow &amp; #Hairspray.  Awesome movies."
2,861848637613248512,We had a fun and freaky night hell_firecaves screening #TheRockyHorrorPictureShow bringing the history of the cave\u2026
3,861843566364172288,Stream The Rocky Horror Picture Show (1975) on GeekerMovies\nWatch Now:
4,861687351529099264,LadyV1705 Mokeddem77 thebournester ArchangelBlake Richard O'Brien : Science fiction Double Feature .\u2026
5,861506184880246784,It's #TheChilternsVintageCinema first night back hell_firecaves tonight kicking off with\u2026
6,861301657086423040,DontFuckWithLuc *Shakes you some more to make sure you watch #TheRockyHorrorPictureShow*
7,861056746130821120,Tonight at 11:45 PM at the HwoodTheater - #TheRockyHorrorPictureShow - you know it's on your bucket list!
8,860937695492808706,"So #TheRockyHorrorPictureShow vibe, you're saying, huh?\nCouldn't help it #sorrynotsorry\nLanaParrilla OnceABC\u2026"
9,860909769498013696,Wife and I got matching tattoos for our love for each other and #therockyhorrorpictureshow. Taken from\u2026
10,860757698777817089,The Rocky Horror Picture Show is a Awesome Movie
11,860757563670904832,"To all the people who Don't Know The Rocky Horror Picture Show, Buy it or Download it &amp; Watch it"
12,860755185169313794,Now playing #TheRockyHorrorPictureShow - Over at the Frankenstein Place on TripRock
13,860698132958466048,"Don't dream it, be it. #TheRockyHorrorPictureShow regresa al Autocinema!! BOLETOS:"
14,860696075199315968,\u2018king Arthur And The Knights Of The Round Table\u2019 Is So  |  |
15,860679258594619393,TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:\u2026
16,860676502341509121,I can't believe I've only just now got the complete #TheRockyHorrorPictureShow soundtrack on iTunes.\n\nI'm fucking ashamed of me.
17,860649063703871491,TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:\u2026
18,860618864601833473,TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:\u2026
19,860617625092595712,Learning how to write #novel #dialogue Decided 2 practice using with #therockyhorrorpictureshow &amp; #twilight  #My fi\u2026
20,860588664824504324,TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:\u2026
21,860588480589705217,RT PlazaAtlanta: TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:
22,860558465906778112,TONIGHT AT MIDNIGHT!!!! Don't Be Stuck In Your Dreams And Be It With #TheRockyHorrorPictureShow #Atlanta Tix:\u2026
23,860457037020491776,Favourite inspiration in the universe\n#trhps #therockyhorrorpictureshow #franknfurter #timcurry\u2026
24,860336889232060417,"RT AutocinemaC: Touch, touch, touch me I want to be dirty... #TheRockyHorrorPictureShow regresa al Autocinema. BOLETOS:"
25,860334991422652417,"Touch, touch, touch me I want to be dirty... #TheRockyHorrorPictureShow regresa al Autocinema. BOLETOS:"
26,860320913669140482,MANNEQUIN REALNESS \ud83d\udc44\ud83c\udfb6\ud83c\udfa4\ud83d\udc60\n
27,860316852508966912,RT DD_rhps: #throwbackthursday to our performance at Pride in The Park 2013! #therockyhorrorpictureshow\u2026
28,860265312729657345,#throwbackthursday to our performance at Pride in The Park 2013! #therockyhorrorpictureshow\u2026
29,860231578584322049,My favorite #Rocky film is #TheRockyHorrorPictureShow.
30,859948538389815296,RT IsaacsHauntedB: Of course I'm a member.\n
31,859948426229723136,Of course I'm a member.\n
32,859946912664829952,"I love The Rocky Horror Picture Show, It's My Most Favourite Movie in The Whole World"
33,859946667226746880,Who Likes The Rocky Horror Picture Show??
34,859901638047391746,Let's do the Time Warp again!! #TheRockyHorrorPictureShow regresa al Autocinema!! BOLETOS:
35,859826895181012993,"Don't dream it, be it. #TheRockyHorrorPictureShow regresa al Autocinema!! BOLETOS:"
36,859634630936465410,Listen to The Rocky Horror Picture Show Soundtrack
37,859603484110401537,Stream The Rocky Horror Picture Show (1975) on GeekerMovies\nWatch Now:
38,859559635304558592,#TheRockyHorrorPictureShow is back at the #GuildTheatre this Saturday night with BawdyCaste live! Tickets:\u2026
39,859540138866638849,"RT AutocinemaC: Touch, touch, touch me I want to be dirty... #TheRockyHorrorPictureShow regresa al Autocinema. BOLETOS:"
40,859539245991514112,"Touch, touch, touch me I want to be dirty... #TheRockyHorrorPictureShow regresa al Autocinema. BOLETOS:"
41,859516635446743040,Hey I can do Dinner and a Movie #TheRockyHorrorPictureShow and #Pasta :) Have fun!!!!
42,859514106633744384,Movie is over #The5thWave not bad I enjoyed it for what it was:) ok next #TheRockyHorrorPictureShow A feeling it is not going to be as good\ud83d\ude2c
43,859494639170183168,"RT TheAztecTheatre: SPECIAL OFFER \u2014 Get 47% off tix to #TheRockyHorrorPictureShow Screening Party (18+) on Sat, May 27th! Get yours:"
44,859484100570341376,Ok qick run to the library besides #Solace picked up #The5thWave  and the new #TheRockyHorrorPictureShow  just to c\u2026
45,859423523374223360,RT DD_rhps: This month - May 27th! #therockyhorrorpictureshow #rockyhorrorpictureshow #rockyhorror #rhps\u2026
46,859266750180990979,"I see you shiver, with antici-\n\n"
47,859252590412005385,This month - May 27th! #therockyhorrorpictureshow #rockyhorrorpictureshow #rockyhorror #rhps\u2026
