,tweet_id,text
0,862352387368927235,RT PrudentBaby: Make pretty Marshmallow cookies inspired by Gidget from #TheSecretLifeOfPets now on Blu-Ray/DVD!
1,862160546682073088,RT AaronsAnimals: Copy Cat #TheSecretLifeofPets #sponsored PetsMovie
2,862110042929188865,"Again: Don't understand the concept of planes, but understand revenge?"
3,862109070936993794,This girl would be anorexic if she were real.
4,862108569801560064,"This girl leaves her dog home alone every single day, and she gets another one? She's a bad person."
5,862108186920275968,"These animals clearly have an understanding of geography, but don't know what a plane is? What is this?"
6,862073475216887808,"Watch #TheSecretLifeofPets tomorrow, Wed., 5/10  6:30 P #BethesdaLibrary:"
7,862012385279832065,"\""I feel heroic! And handsome! A little wet, but I still look good!\"" #TheSecretLifeOfPets \ud83d\udc30"
8,861936213481078784,I am the Chloe kind of friend \ud83d\ude02\ud83d\ude39
9,861772278618619904,I didn't know that jennyslate as a small fluffy dog was something I needed and yet...
10,861602198341517312,"\""Ricky was the only soldier I had that was ready to kill humans on site!\"" #thesecretlifeofpets\u2026"
11,861590589497802753,RT universaluk: Ever wondered what your pets get up to when you\u2019re not around?  #TheSecretLifeofPets coming soon to cinemas.\n
12,861504354804695040,"The Secret Life of Pets (2016) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
13,861442408566988800,"I didn't play #TheSecretLifeofPets Unleash game for A month. When I play the game last week,\u2026"
14,861427534277132289,"RT maiden3392: #TheSecretLifeOfPets was fantastic, one of my new favorites. Kevin Hart was actually funny! Hilarious."
15,861400540944539648,"Dang, this movie starts with Taylor Swift? I feel the need to dance"
16,861398298426572801,jennyslate voicing Gidget in #TheSecretLifeOfPets was the best thing to happen to animation.
17,861343008624607232,A lazy Sunday calls for #TheSecretLifeOfPets on netflix! -I
18,861342322524471299,"#TheSecretLifeOfPets was fantastic, one of my new favorites. Kevin Hart was actually funny! Hilarious."
19,861299138360745984,"#TheSecretLifeOfPets is an adventure story, a love story, and a laugh-out-loud comedy:"
20,861258501343072256,anyone else wonder in petsmovie what's katie's job that she can afford a sick 1bdr in manhattan with a dishwasher???
21,861056982073180162,Baby's fever finally broke finished binge watching #dearwhitepeoplenetflix now time to settle down w the kids &amp; watch
22,861055765045547008,"When you're watching #TheSecretLifeofPets on your very own big screen, you can be a Susie Seatkicker and a Tommy Te\u2026"
23,861012037803159553,Watch The Secret Life of Pets (2016) Free Online \nLink:  \n
24,860977161544400896,Mariahhhbaybay and I just watched #TheSecretLifeOfPets on FaceTime together from across the country. #sisters #love \ud83d\ude18
25,860966224955674628,"cincopedia So FANCY!! Enjoy MY NYC !! \ud83d\ude0a in the meantime I'll be here, watching Secret Life of Pets for the zillion\u2026"
26,860934661358231552,One minute &amp; 59 seconds into #TheSecretLifeOfPets &amp; the waterworks are already kicking. Maybe my doctor shouldn't have lowered my dosage? \ud83e\udd23
27,860860788965347328,#thesecretlifeofpets am I crazy but the last 5 min. of the movie made me tear up. It was just so touching
28,860765381845147649,.KevinHart4real as the voice of this bunny in #thesecretlifeofpets kills me.  I can't even.
29,860752821293129728,Watching #TheSecretLifeOfPets with kellyrae_belly. My favorite part is the #WeinerKingdom \ud83c\udf2d
30,860749678589227008,Watching #thesecretlifeofpets together #loveofmylife\u2764\ufe0f
31,860700007573274624,Or I'm just like my mother. Lol. \n
32,860699148592361472,I definitely thought the owner died or something lol. I'm extra. \n
33,860698026960068608,The sausage part. What? But I love it. Hahah \n
34,860696124184604672,This dog has a God damn gopro! \ud83d\ude02 \n
35,860693180630482944,This lil princess puff ball knows how to be a queen. \ud83d\udc51 \n
