,tweet_id,text
0,862265393439625216,"The Westminster Larger Catechism, Q104.\n#themorallaw #thetencommandments #worshipGodalone\u2026"
1,861935665855905795,RT TheGoodGodAbove: #TheTenCommandments is on TV. I still remember drowning the Egyptians and killing their first born children. \n\nSigh...\u2026
2,861918240221663234,RT fkdesignbd: I Will Install Theme And Import Demo In WordPress\n\n \n#TheTenCommandments #boycottsnapchat #OverHear\u2026
3,861847987768537089,RT mytriviaclub: What is the #running time of the 1956 #masterpiece #TheTenCommandments? #\u2663\ufe0f #HappyEaster #HappyEasterWeekend #movie #acto\u2026
4,861690070113202176,"RT daytonadan: The Children of Isreal resorted to worshipping a golden calf. Today, they'd fawn over an orange jackass."
5,861655578669703169,KsLiberal Greg_MarineLab Floridaline GardenerN21 cootey59 Lead1225 Bye_Dogma Colin_bluenose bigstewy58\u2026
6,861576003155394560,WhiteHouse POTUS #Freedom can only be exercised within the #Law #TheTenCommandments &amp; that Law comes only from the God of Israel !
7,861411498018648068,#HappyBirthday #AnneBaxter \ud83c\udf82 - #TheTenCommandments (4/10) Movie CLIP - You Will Be My Wife (1956) #YulBrynner  HD
8,861368612833165312,Wore the 4th of five shirts from Christianbook today! \ud83d\ude4f\ud83c\udffb\ud83d\ude4c\ud83c\udffc #TheTenCommandments #Exodus 20:1-17
9,861344658919743488,Colin_bluenose GardenerN21 Bye_Dogma BrianGumby chasfax cootey59 bigstewy58 JoeCienkowski AtheisticBeard\u2026
10,861321463483289602,RT kickindragon777: Heres a poll 4 ya How many people YOU know can tell you whatR #TheTenCommandments &amp; what they mean?a)100%b)75%c)10% my\u2026
11,860593773843296261,"RT pastorlocke: I love how some people are mad that #TheTenCommandments is on television. Yeah, conviction does that to people."
12,860593348054331396,RT Fresh_Flames1: #TheTenCommandments Were Stolen From The Kemetic 42 Negative Confession Or Laws Of Ma'at
13,860590168276819968,RT Fresh_Flames1: #TheTenCommandments Were Stolen From The Kemetic 42 Negative Confession Or Laws Of Ma'at
14,860589766773002240,RT Fresh_Flames1: #TheTenCommandments Were Stolen From The Kemetic 42 Negative Confession Or Laws Of Ma'at
15,860589560316801025,RT Fresh_Flames1: #TheTenCommandments Were Stolen From The Kemetic 42 Negative Confession Or Laws Of Ma'at
16,860589219638411264,RT Fresh_Flames1: #TheTenCommandments Were Stolen From The Kemetic 42 Negative Confession Or Laws Of Ma'at
17,860313478887862272,"\""The Ten Commandments\"" by The Fugs  #TheTenCommandments #TheFugs Lyr"
18,860185034577149952,"\""Do not worship any other gods. Do not make any kind of idols.\"" #TheTenCommandments\ud83d\udc9a"
19,860184598642163712,"\""God has given you a second chance to put Him first.\"" #TheTenCommandments\ud83d\udc9d"
20,860148602932523008,DubuissonPaul FarkyH Morphindel ladybuglc bigstewy58 leedeeley21 THHELENOHENZO TDesane WezKing\u2026
21,860147587524984832,aMomentOfScienc DubuissonPaul FarkyH Morphindel ladybuglc bigstewy58 leedeeley21 THHELENOHENZO TDesane\u2026
22,860147031742042114,aMomentOfScienc DubuissonPaul FarkyH Morphindel ladybuglc bigstewy58 leedeeley21 THHELENOHENZO TDesane\u2026
23,859838359149191173,Morphindel ladybuglc bigstewy58 leedeeley21 FarkyH THHELENOHENZO TDesane WezKing Astro_Brony1\u2026
24,859137820853768192,welshninja87 Goblin_Steroids JennUndercover JoeCienkowski AtheisticBeard TwitCesar THHELENOHENZO\u2026
