,tweet_id,text
0,862320061943623680,Review: The Two Towers  via jamescudney4 #tolkien #lordoftherings #thetwotowers #fantasy #book review
1,861924139422162949,"#TheLordoftheRings: #TheTwoTowers \""That there's some good in this world, Mr. Frodo... and it's worth fighting for\"""
2,861577226839576580,"We managed to watch only #FellowshipOfTheRing  and #TheTwoTowers last night, but it was a very inspiring and emotional evening"
3,861352451638575104,"Gimley: Legolas, I'm on 2 already!Legolas: I'm on seventeen. Gimley: What?!"
4,861315894185607168,"\""This is Sting. You've seen it before haven't you...Gollum. Release him, or I'll cut your throat.\"""
5,861137403645505538,The caves CheddarGorge_ are the inspirations for the caves behind Helm's Deep in #JRRTolkien's
6,860635094700236800,"\""What do trees have to talk about, except the consistency of squirrel droppings?\"""
7,860633836425797632,"\""Do it, Frodo, go for a swim! Do another stupid thing. You have to be saved by your gardener!\""thehopperdroper"
8,860593896467857408,Rereading #TheTwoTowers and Ive discovered a new species in #MiddleEarth: Exposition Orcs.
9,859714759213449216,Just found these on my Father's things. #MovieMarathon #LordOfTheRings #TheFellowshipOfTheRing #TheTwoTowers
10,859691425138483200,Now watching
11,859582421699788800,#sauronseye &amp; #thetwotowers  Thanks for the gift alexjbfashion   #elojodesauron y #lasdostorres  Gracias al
12,859476706104680448,Lord of the rings
13,859439994934628352,"#TeaserTuesday just a cozy afternoon at home, watching #LOTR #TheTwoTowers."
14,859432887640260608,Watching #TheTwoTowers and my mom says: Oh! Gandalf the White has glasses!....Nevermind...the screen is just dirty
