,tweet_id,text
0,862350612977000448,Patricia is too much for me \ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02\ud83d\ude02 quiteperry too funny #jamaicans #comedian #titanic #parody\u2026
1,862349344225099776,"will perform \""My Heart Will Go On\"" in honor of #Titanic's 20th anniversary at the BBMAs"
2,862346490567684096,white sexy stockings #titanic nude scence
3,862345515211665410,"RT miryamsantander: Titanic Quarter _Belfast, Northern Ireland, UK_ #VisitBelfast #Titanic #photooftheday #photo\u2026"
4,862344613125918726,free xxx porn hot #titanic nude scence
5,862343164014850048,"RT stntalk: \""I 'll never let go\"""
6,862342888851619840,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
7,862342714934910977,#titanic nude picture porni clips
8,862342616079364096,"Channel4 were can i find the #Documentary on #Titanic that you dod back in april,? \ud83d\ude01\ud83d\ude01\ud83d\udc4c\ud83c\udffc"
9,862342153531510784,RT SuzyPobble: Captivating diary entries from St Luke's CofE in #Salford based on the sinking of #Titanic  #edchat\u2026
10,862342103988416512,"RT stntalk: \""I 'll never let go\"""
11,862341946974629888,"RT stntalk: \""I 'll never let go\"""
12,862340984566407170,titanic__movieBeautiful scene \u2764\ud83d\ude0d\n[#titanic #titanicmovie #thebestmovie #jackdawson\u2026
13,862339520376614912,"Titanic Quarter _Belfast, Northern Ireland, UK_ #VisitBelfast #Titanic #photooftheday #photo\u2026"
14,862338966888079361,"RT TVGuide: C\u00e9line Dion will perform \""My Heart Will Go On\"" at the #BBMAs in honor of #Titanic's 20th anniversary  h\u2026"
15,862338281270255617,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
16,862332822853480449,grandma having sex video #titanic nude painting
17,862327886644228097,"Never be afraid to try something new. Amateurs built the ark, professionals built the #Titanic."
18,862324707235946496,Watch Titanic (1997) HD Movie\nWatch Now:
19,862324196214321152,When you ship a sinkable ship. MAH HART MAH SOUL \ud83d\ude2d\ud83d\ude2d
20,862323588929658880,The modern day Titanic you can live on #travel #travelblogger #familytravel #Photography #history #ships #boats\u2026
21,862322806553550848,"you ever busta nut so hard that you sink the Titanic, yo ladies from the 1910's  you know what I am taking about. call me"
22,862320540274634752,"Life-size #Titanic replica under construction in #Sichuan, #China. Dazed and confused, but thanks, ChinaDailyAsia.\u2026"
23,862320120068268032,RT TitanicUSA: Bill Paxton will always be close to our hearts! &lt;3 This was one of his final interviews! He spoke of #Titanic.
24,862317771027128320,"I'm going to call SenateGOP and HouseGOP at random and play \""My Heart Will Go On\"" while laughing maniacally.\u2026"
25,862315840829628416,RT DudleyArchives: Join us and #Titanic expert and author Andrew Lound at 10am on Saturday 20th for a hands on event on archives and resea\u2026
26,862315713108873216,"When a corrupt,unstable individual is in a position of political power\ud83c\uddfa\ud83c\uddf8&amp; his party CONTINUES to stand w/him,they are in deep water"
27,862315633274494976,What if your spiritual journey took you back to a voyage aboard the RMS #Titanic? PaulAmirault1\u2026
28,862315631173042176,What if your spiritual journey took you back to a voyage aboard the RMS #Titanic? PaulAmirault1\u2026
29,862315493990027264,"The last known photo of the #Titanic,It was sunk by an iceberg. 1500 died,710 others saved.\n\nSource:\u2026"
30,862312351919472644,bettyporno #titanic naked pics
31,862309124343836672,"RT TitanicSayings: \""Where are you going? To him? To be a whore to a gutter rat?\"""
32,862309030424870912,"RT TitanicSayings: \""I can see the Statue of Liberty already; very small, of course!\"""
33,862304394834046977,Indyluck is running out
34,862302878999904256,RT Me_Is_Matt: #titanic {\n   float: none;\n}
35,862301825827053568,The suns shining on Commander Smiths shoulders this afternoon
36,862301192394862592,"RT TVGuide: C\u00e9line Dion will perform \""My Heart Will Go On\"" at the #BBMAs in honor of #Titanic's 20th anniversary  h\u2026"
37,862299483140501504,RT TitanicUSA: Bill Paxton will always be close to our hearts! &lt;3 This was one of his final interviews! He spoke of #Titanic.
38,862297051278737408,"rodryanshow My junior prom song was \u201dMy Heart Will Go On.\"" Apparently someone thought a #Titanic themed prom would be a good idea \ud83e\udd26"
39,862296591507619841,RT Classic_picx: #OnThisDay 1912 RMS #Titanic hits an iceberg. The ship's Captain E.J Smith is pictured here in the moments after the iceb\u2026
40,862294924355674114,My heart will go on #CelineDion #Titanic theme song #Piano cover
41,862294651604262913,Coill using #lego today in class to build #boats like the
42,862289385630310400,RT Maddiedintino4: Happy birthday anazavadil ilysm I hope today is perfect bff #ramos #recorder #titanic #helen \u2764\u2764\u2764\ud83d\udc96\ud83d\udc96\ud83d\udc96\ud83c\udf8a\ud83c\udf8a\ud83c\udf8a\ud83c\udf89\ud83c\udf89\ud83c\udf89\ud83c\udf89
43,862289164414451714,Bill Paxton will always be close to our hearts! &lt;3 This was one of his final interviews! He spoke of #Titanic.
44,862287311475621889,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
45,862286136261185536,RT gillianwelch: Happy Ruination Day. Beware of icebergs and box seats.
46,862283408587837440,"RT Read_The_Dung: As my son get his lunch on the airplane, I can only think of the Titanic dataset :-)"
47,862282815727165440,Happy birthday anazavadil ilysm I hope today is perfect bff #ramos #recorder #titanic #helen \u2764\u2764\u2764\ud83d\udc96\ud83d\udc96\ud83d\udc96\ud83c\udf8a\ud83c\udf8a\ud83c\udf8a\ud83c\udf89\ud83c\udf89\ud83c\udf89\ud83c\udf89
48,862279850832396290,"RT iamn3ko: I'm such a pretty crier when I watch #Titanic, alone, while eating ice cream... New video out on my channel now. -"
49,862277198006427648,"As my son get his lunch on the airplane, I can only think of the Titanic dataset :-)"
50,862274531339227136,RT Me_Is_Matt: #titanic {\n   float: none;\n}
51,862274107320266752,RT Me_Is_Matt: #titanic {\n   float: none;\n}
52,862274053532520448,#titanic {\n   float: none;\n}
53,862269096968302593,"RT TitanicSayings: \""Where are you going? To him? To be a whore to a gutter rat?\"""
54,862267542320156672,First time sleeping in a boat last night! It was an awesome experience! I feel like I am in #Titanic of how it keeps rowing on the river! \ud83d\udee5
55,862267347473547264,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
56,862262650926977024,trample sex #titanic rose nude
57,862262071853035520,"On a diverging track, I've also been reading about the tragedy of the #Titanic that sunk more than a century ago. Astonishing revelations!"
58,862259878903074817,RT abc_science: Why Didn\u2019t The Passengers Of The #Titanic Climb Aboard The #Iceberg To Save Themselves? :
59,862257395040485379,naked teen chixs #titanic rose nude
60,862256770533773312,#titanic rose nude hentia pokemon porn
61,862256017106649089,"WATCH: It was a #Titanic situation at #PrateekWisteria, #Noida, this morning!\n"
62,862254711294099456,He reminds me of the #Titanic. The guys who were playing 'Amazing Grace' on violins as the ship was capsizing.
63,862252969257050112,#Titanic #Startcartoon Spread the word!
64,862250227465674752,RT abc_science: Why Didn\u2019t The Passengers Of The #Titanic Climb Aboard The #Iceberg To Save Themselves? :
65,862249071875989505,Jack &amp; rose\ud83d\udc6b\ud83d\ude0d\ud83d\ude18\n#titanic\ud83d\udcc0
66,862240064713236481,RT KatyPrestedge: Most depressing part of #Titanic is the closing song
67,862239412570046464,"RT TitanicSayings: \""I can see the Statue of Liberty already; very small, of course!\"""
68,862236955295305728,There are people who survived when that boat was sinking. And we are some of them.
69,862234615267897345,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
70,862233956737064960,Captivating diary entries from St Luke's CofE in #Salford based on the sinking of
71,862230975228645377,There is a variety of advertising for the #Titanic and #Olympic on display in our #Titanic exhibition
72,862226593674121217,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
73,862224623185911809,"RT TitanicSayings: \""I can see the Statue of Liberty already; very small, of course!\"""
74,862210923200565248,Left: 2017 $ETH (no pop yet)\nRight: 2014 $BTC (popped from &gt;$1k to ~$200)\n\nNoobies didn't learn the first time it s\u2026
75,862209447040606209,Looking forward for the uk_ipn meeting today in #Titanic Belfast
76,862208748533796864,#titanic poster #travel #ship #liner #new york #trans atlantic #ocean #white star line
77,862206900544327680,Will you watch #YoonMin's version of #Titanic? This will be a #parody! \ud83d\ude05\ud83d\ude05 #BTS bts_twt
78,862205461910761474,"Do you think, if Jack knew that Rose was going to die on a ship anyways, he would have given up the door?"
79,862204826624643073,"RT TitanicSayings: \""I can see the Statue of Liberty already; very small, of course!\"""
80,862204802683596800,"RT TitanicSayings: \""Where are you going? To him? To be a whore to a gutter rat?\"""
81,862203950300356608,"POTUS realDonaldTrump knows he is aboard the #TITANIC! Watching #FIRED #WITNESS after another, GOP Save SELF is\u2026"
82,862195746174414848,I'm Crying watching #Titanic on cmt. But after this? Theres a Florida Georgia Line special.
83,862195210876592128,RT WORLDMUSICAWARD: #C\u00e9lineDion to Sing #MyHeartWillGoOn at 2017 Billboard Music Awards in Honor of #Titanic's 20th Anniversary!\ud83d\ude0d\n
84,862185625902075905,every night in my dreams I see you I feel you \ud83c\udfb6\ud83c\udfb6\u2764\ufe0f
85,862182011783524352,"RT Mikeygy: #DianeAbbot must be a #Tory plant, and we all thought it was #Corbyn."
86,862180208421593089,RT abc_science: Why Didn\u2019t The Passengers Of The #Titanic Climb Aboard The #Iceberg To Save Themselves? :
87,862179479505977344,RT abc_science: Why Didn\u2019t The Passengers Of The #Titanic Climb Aboard The #Iceberg To Save Themselves? :
88,862178360583237633,RT abc_science: Why Didn\u2019t The Passengers Of The #Titanic Climb Aboard The #Iceberg To Save Themselves? :
