,tweet_id,text
0,862311233181155328,SO brave!!!
1,861736151962595328,RT nigracolumba: \u275dco\u03c5rageo\u03c5\u0455 and c\u03c5nn\u03b9ng is part of my name.\u275e\n-New OC\n-18+ Des./ Lit.\n-Ships w/ Chem\n-#HarryPotterRP\n-Any Era\n-#\u1d40\u1d3c\u1d3c\u1d40\u02e2\u1d35\u1d31 ht\u2026
2,861580124705230849,"RT thatgirlmsshe: The day I discovered #Tootsie was not just a #Romcom, it was a life philosophy  MondayBlogs #Mon\u2026"
3,861552917614088193,"The day I discovered #Tootsie was not just a #Romcom, it was a life philosophy  MondayBlogs"
4,861449684832976896,"RT Chicago_History: Manufactured in #Chicago since 1896, How many licks does it take to get to the #TootsieRoll center of a #Tootsie #Pop?\u2026"
5,861379286451666944,#HowToBeALatinLover director KenMarino on why he loves #Tootsie &amp; #TheBigLebowski:
6,861320435753000965,RT nigracolumba: \u275dco\u03c5rageo\u03c5\u0455 and c\u03c5nn\u03b9ng is part of my name.\u275e\n-New OC\n-18+ Des./ Lit.\n-Ships w/ Chem\n-#HarryPotterRP\n-Any Era\n-#\u1d40\u1d3c\u1d3c\u1d40\u02e2\u1d35\u1d31 ht\u2026
7,861310856579104768,RT nigracolumba: \u275dco\u03c5rageo\u03c5\u0455 and c\u03c5nn\u03b9ng is part of my name.\u275e\n-New OC\n-18+ Des./ Lit.\n-Ships w/ Chem\n-#HarryPotterRP\n-Any Era\n-#\u1d40\u1d3c\u1d3c\u1d40\u02e2\u1d35\u1d31 ht\u2026
8,861306817934000133,\u275dco\u03c5rageo\u03c5\u0455 and c\u03c5nn\u03b9ng is part of my name.\u275e\n-New OC\n-18+ Des./ Lit.\n-Ships w/ Chem\n-#HarryPotterRP\n-Any Era\n-\u2026
9,861272160278528000,"Pushes devilinaskirt onto the TL. If y'all have glee OC's and cannon, here's another Santana written by your's truly: #\u1d40\u1d3c\u1d3c\u1d40\u02e2\u1d35\u1d31"
10,861269243152564224,\u275dA million awsome gay jokes just popped up into my head.\u275e\n-New Santana\n-18+ Des./ Lit.\n-Ships Fintana or Sebtana w/\u2026
11,861253010361643010,ENDING TODAY!! #TOOTSIE ROLL #Fabric #CHOCOLATE ROLLS #Candy Jar I SPY Quilt RARE Retired Remnant
12,861158218873135104,#Tootsie Roll Industries $TR #stock  #investing #Tootsie Roll Industries reported unchanged earnings per share  at $0.16 on moderate Sales \u2026
13,860934986777669632,What in THE WORLD is cuter tan this! #tootsie &amp; #jaketheman \n#dancing\nIn\nThe \nmall\n\ud83d\udc63\n#robynlevy\u2026
14,860898414535561216,ENDING SOON! #TOOTSIE ROLL #Fabric #CHOCOLATE ROLLS Candy Jar I SPY Quilt RARE Retired Remnant
15,860558907869085696,"RT SteveInNoHowood: D'ya hear our #Tootsietalk after we watched #Tootsie on vtrtmovies? No? Well, now's your chance! #DorothyMichaels htt\u2026"
16,860558857029812224,"RT SteveInNoHowood: D'ya hear our #Tootsietalk after we watched #Tootsie on vtrtmovies? No? Well, now's your chance! #DorothyMichaels htt\u2026"
17,860545088782344193,"D'ya hear our #Tootsietalk after we watched #Tootsie on vtrtmovies? No? Well, now's your chance!"
18,859993582563979265,RT AmyAnderssen1: Me and my #tootsie roll will going live at 2pm on
19,859839020708311042,RT Ladegaard14: Kyler__Williams thanks kyler!
20,859838836138024962,Kyler__Williams thanks kyler!
21,859829926572113921,Thanks to everyone who came out to see #Tootsie last night. Our AGF series is a thank you for your support! Sponsor\u2026
22,859755619380850689,#TOOTSIE ROLL #Fabric #CHOCOLATE ROLLS Candy Jar I SPY Quilt RARE Retired Remnant
23,859674599662997506,RT TimLihoreau: Good Morning! Any chance you can i.d. today's birthday boys morphed here?\nI'm reminded of #Tootsie \n#face2face\nClassicFM\u2026
24,859651829432537089,RT TimLihoreau: Good Morning! Any chance you can i.d. today's birthday boys morphed here?\nI'm reminded of #Tootsie \n#face2face\nClassicFM\u2026
25,859651062688559105,Good Morning! Any chance you can i.d. today's birthday boys morphed here?\nI'm reminded of #Tootsie \n#face2face\u2026
26,859573888044457984,"\""Tootsie [Instrumental]\"" by The Playground Kids"
27,859489516456988673,"#BradPaisley, 'Love and War' Collaborators Play #Tootsie's [PICTURES]"
28,859452360799780864,Don't miss the latest installment of our AGF classic film series. We'll screen #Tootsie tonight at 7pm. Free admiss\u2026
29,859446756307648512,Before my time...\n\n#success #positive #quote #happy #choice #kindness #tootsie #change #attitude\u2026
30,859360093057552384,Has Hairnry #VanBreda changed his #DustinHoffman #Tootsie hairstyle today?\nAnd is Kleynhans the new #Botha?\nThe obvious was clear on Day One
31,859331315954581504,"I like the updated 'do! Roll, Betsy, roll. #BetsyDeVos #Tootsie BetsyDeVosED"
32,859222283621158912,#TOOTSIE ROLL #Fabric #CHOCOLATE ROLLS #Candy Jar I SPY Quilt RARE Retired #tootsierolls #sew-lutions
