,tweet_id,text
0,862363947067998208,Flying an F-35 Joint Strike Fighter simulator
1,862363055086333952,1045CHUMFM #Topgun over and over
2,862360142712582144,I still refuse to accept that they had to kill goose. It was a dick move
3,862351945834614785,Are you a #Clueless or a #TopGun when it comes to your #security? Take this quiz to find out!
4,862350707612983297,The 80s were good to me \ud83d\ude02
5,862345919181672448,RT FeelinFilm: Our weekly poll is a movie mash-up of #TopGun &amp; #GuardiansoftheGalaxyVol2. Help us decide who the better pilot is:
6,862345716819259400,Our weekly poll is a movie mash-up of #TopGun &amp; #GuardiansoftheGalaxyVol2. Help us decide who the better pilot is:
7,862345479454998528,ShamisOMally LtRoyalShrimp whatchu know about that throwback reference?
8,862336757903355905,I feel the need... the need for SPEED \ud83d\udeb4\ud83d\udca8 #TopGun  #maverick\u2026
9,862318553994854400,"RT JBell_26: Remember, boys, there are no points for second place."
10,862312632602079232,andy_keatts .carldemaio calls it- that volleyball movie.
11,862297157877067777,RT PrashantPaudyal: I feel the need... the need for speed. \n
12,862296688760958977,Stream Top Gun (1986) on GeekerMovies\nWatch Now:
13,862287816306417665,"RT adejesus25x: \"" READY BREAK DOWN, READY FOOT FIRE \"" ~ #TopGun Coach Mac \u2764\ud83c\udfc0"
14,862282629814640641,FillWerrell #topgun gangs dance together SamRamball mershow91
15,862282362629083136,"\"" READY BREAK DOWN, READY FOOT FIRE \"" ~ #TopGun Coach Mac \u2764\ud83c\udfc0"
16,862280946791219200,Danger Zone / Kenny Loggins \n#thenite\n#topgun\n#\u30df\u30b9\u30bf\u30fc\u30b5\u30f3\u30c8\u30e9
17,862277902645243910,"RT hellomag: .TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!"
18,862274789863456768,".TheLunaCinema are showing all your favourite classics, including #NottingHill, #TopGun, #Grease, #Jaws and more!\u2026"
19,862264514498228224,"In \""Biggles\"" mode today!! Fantastic time at Micro Flight Academy this morning #topgun #amflying #amnotscared \ud83d\ude81"
20,862241565791662082,RT BremontMilitary: A two ship of Bremont Tomcats. Too cool. \ud83d\ude0e Exclusive to former operators.
21,862239966436499457,My colleague at work has started blaring #cheaptrick #mightywings in the office - and shes a pilot!
22,862214688477560832,I really love TGLC this season. Thanks for the wonderful and exciting moments every competition! Love yah Jags!
23,862209663881940992,Always visit the house though when I'm back in
24,862207430440169472,Happy Birthday to #FSDP Trustee #TopGun Tony. Please help him raise funds for our amazing #charity.\u2026
25,862198370357719040,Another busy morning in the skies above Peterborough \ud83d\udee9\ufe0f ...
