,tweet_id,text
0,862140689580163072,Watch Toy Story 2 (1999) on #NowTV (14-Day Free Trial)Watch it here:
1,861849402339729408,The kid demanded to watch #ToyStory2 at 7am. I am *not* ready for these emotions before 9am.
2,861836831972872193,Old man with a beard tricks the protagonist that he's found his REAL family when he's actually the villain#GotGVol2 =
3,861692334009970688,OLA_School_Bx 's Cool #Science
4,861669095988764672,NEW at radiotcc! DisneyPixar #ToyStory #ToyStory2 #ToyStory3 by RandyNewman! tomhanks ofctimallen
5,861434278780915716,LOVED seeing Woody's Roundup singers Riders in the Sky HarmonyRanch today! Been a fan for many years! Fantastic co
6,861033583850532864,Watch Toy Story 2 (1999) on #NOWTV (14-Day Free Trial)Watch right now:
7,860519848513875969,Woody...Allen #toystory #woodyallen #tomhanks #woody #toystory3 #toystory2 #movies #film
8,860452086198226944,You never forget kids like Emily or Andy but they forget you .. - Jessie #ToyStory2#ToyStory #Disney
9,860193686470234112,of my favorite movie opening scene of all time!
10,860182547619336193,"TOY STORY  #Redworldtoys RARE #TOYSTORY2 #JESSIE THE COWGIRL18\"" #SOFTTOY by THE DISNEY STORE  NEW+TAGS  via eBay_UK"
11,859928575167922176,Watch Toy Story 2 (1999) on #nowtv (14-Day Free Trial)Watch it now:
12,859423049103413248,Favorite Films: #ToyStory2 (1999) Somewhere in that pad of stuffing is a toy who taught me that life's o...
