,tweet_id,text
0,862085609518759936,"Toy Story 3 (2010) on #Vidimovie\nTrailers, Clips &amp; Reviews:"
1,862076612673552384,\u2601\ufe0fFAVORITE PICTURE\u2601\ufe0f\n\n#toystory3 #toystory #\u30c8\u30a4\u30b9\u30c8\u30fc\u30ea\u30fc
2,862033303280525313,Can't believe Toy Story 3 came out 7 years ago! The ending still gets to me every time!
3,861765483049123840,Watch Toy Story 3 (2010) on #PrimeVideoUK (30-Day Free Trial)\nGo watch it:
4,861669095988764672,NEW at radiotcc! DisneyPixar #ToyStory #ToyStory2 #ToyStory3 by RandyNewman! tomhanks ofctimallen\u2026
5,861490862802567169,GOLDEN HALF HOUR: From the year #Pompey were beaten by Chelsea in the FA Cup Final &amp; #ToyStory3 film was in cinemas\u2026
6,861372174929723392,Ver Toy Story 3 (2010) Online Gratis \nLink:  \n
7,861372090188013569,Regarder Toy Story 3 (2010) Gratuit en Ligne \nLink:  \n
8,861371872386187264,Watch Toy Story 3 (2010) Free Online \nLink:  \n
9,861150845295104000,RT Texacanno: Disney Pixar: Toy Story 3 (2010)
10,861150430172258305,Disney Pixar: Toy Story 3 (2010)
11,861149810589675520,Disney Pixar: Toy Story 3 (2010) (05/07/17) #disney #pixar #toystory3 #characters #sheriffwoody\u2026
12,861066601856081921,just learned the head of DisneyPixar's son has #T1D so he donates a ton of stuff to #jdrf and i'm crying more than i did at
13,860992692372811776,#toystory3 always makes me ugly cry. \ud83d\ude05
14,860970531063037952,Toy Story 3 (2010) on #Vidimovie\nWatch Now:
15,860851777171845120,"Dare I say it? Today is a good day with my eldest 'baby' Chilling with her laptop, music and #ToyStory3 - sometimes\u2026"
16,860744233988313089,Heya folks! Sheriff Woody Pride reporting...\n
17,860663572485079040,Watch Toy Story 3 (2010) on #PrimeVideoUK (30-Day Free Trial)\nWatch it now:
18,860523631029432324,#goodmorningsketch 481. Studying #toystory3 #lotso #Characterdesign by rrr_yaga #sketch\u2026
19,860519848513875969,Woody...Allen #toystory #woodyallen #tomhanks #woody #toystory3 #toystory2 #movies #film\u2026
20,860512172446822401,New IPhone case! \ud83d\ude3b\ud83c\udf53\ud83d\udc3b
21,860489215682990081,IGN  gamespot  #ToyStory3 game is failure torture 4kids. Buzz's space level is damn near impossible! IGN review this 4 adults? Seriously!
22,860278762432331776,If you didn't catch the feels durning that moment in #toystory3. You have no heart. \ud83d\ude28\ud83d\ude25\ud83d\ude22\ud83d\ude1f\ud83d\ude14Gets me every time.
23,860163891548086272,"IDC how old you are, if the incinerator scene from #ToyStory3 doesn't get you right in the feels, you can go straight back to hell. Demon."
24,859939171485577216,"Favorite Films: #ToyStory3 (2010) So long, partner. Toy Story Toy Story 2"
25,859897399401226240,Ver Toy Story 3 (2010) Online Gratis \nLink:  \n
26,859897332695019520,Regarder Toy Story 3 (2010) Gratuit en Ligne \nLink:  \n
27,859897167795957760,Watch Toy Story 3 (2010) Free Online \nLink:  \n
28,859875994408300544,Toy Story 3 (2010) Watch Online\nBrowse Videos Now:
29,859571387287187456,Watch Toy Story 3 (2010) on #PrimeVideoUK (30-Day Free Trial)\nGo watch it:
30,859558005586702336,#ToyStory3 will be 7 years old next month?! Jesus time flies.
31,859508339935334400,Toy Story 3
32,859498823118241792,#ToyStory3 is the greatest movie ever made. Ever
33,859485495021240321,"WHEN WOODY SAYS \""SO LONG, PARTNER..\"" \ud83d\ude2d\ud83d\ude2d"
34,859410778830639105,#nowwatching Toy Story 3\n\n
35,859398355235090432,Same!
36,859253785113374720,"Finished binge of 13ReasonsWhy haven't been this f'ed up since #ToyStory3, or maybe"
37,859247324744122369,"RT wndersoul: When Andy said \""Thanks guy\"" uuuu it hits me hard \ud83d\ude3f"
38,859234753937125376,Check out Toy Story 3 Classic Mr. Potato Head Preorder   via eBay
39,859227985831895040,"When Andy said \""Thanks guy\"" uuuu it hits me hard \ud83d\ude3f"
40,859190410895347716,Family movie night in our bed. Mac &amp; cheese on the raft! Look around for movie characters Can you guess what movie\u2026
41,859189452324917249,Still the saddest ending in movie history \ud83d\ude2d\ud83d\udc94
42,859150916359946240,Still gets me 7 yrs on
