,tweet_id,text
0,862367741277216768,#Top #Toys #Transformers Generations Combiner Wars Bruticus w/ 3rd party hands
1,862367732951425024,#Best #Toy Loyal Subjects #TransformerS WAVE 3 Action Vinyls (1) #Figure SEALED BLIND BOX
2,862367544459624459,RT transformers: Every legend hides a secret.
3,862367461860966400,RT transformers: His absolution is found at the end of his sword.
4,862367460783263744,RT transformers: Every legend hides a secret.
5,862367317836963840,"RT transformers: They\u2019re never a part of the history books, but they\u2019ve definitely made history."
6,862367286056943622,RT transformers: Every legend hides a secret.
7,862367254779908097,"RT transformers: When all seems lost, a few brave souls can save everything we\u2019ve ever known. Watch the new #Transformers trailer now. htt\u2026"
8,862367221632434195,RT transformers: Every legend hides a secret.
9,862367215366144001,RT transformers: Every legend hides a secret.
10,862367207959007232,RT transformers: Every legend hides a secret.
11,862367170277265408,RT transformers: Every legend hides a secret.
12,862367085543931904,RT transformers: Every legend hides a secret.
13,862367077910401024,RT transformers: Look closer to reveal the truth behind the legends.
14,862367038790139906,"RT transformers: They\u2019re never a part of the history books, but they\u2019ve definitely made history."
15,862366990895386625,RT transformers: Every legend hides a secret.
16,862366956992823304,Crxdex hesqai ZACHxFULLER transformers Can't wait to see which transformer was used by the Einsatzgruppen to ki\u2026
17,862366858401460225,RT tfw2005: New Bumblebee WWII Mode Revealed via Transformers The Last Knight Poster
18,862366851430580226,RT transformers: Every legend hides a secret.
19,862366651949428738,RT transformers: Every legend hides a secret.
20,862366650246377472,RT transformers: Every legend hides a secret.
21,862366540813004800,RT neildmonte: Always the bad ass!
22,862366539277680640,RT transformers: Every legend hides a secret.
23,862366485058121728,RT transformers: They have been here forever.
24,862366424232218624,#Transformers &gt;&gt; New Bumblebee WWII Mode Revealed via Transformers The Last Knight Poster
25,862366404929912832,#Transformers &gt;&gt; Transformers The Last Knight History Images
26,862366099861495808,RT transformers: Every legend hides a secret.
27,862366089392644096,RT transformers: Every legend hides a secret.
28,862365914934661121,RT transformers: Look closer to reveal the truth behind the legends.
29,862365853701914624,"RT transformers: They\u2019re never a part of the history books, but they\u2019ve definitely made history."
30,862365754678689792,RT transformers: Every legend hides a secret.
31,862365701121507328,RT transformers: Every legend hides a secret.
32,862365585396555777,RT transformers: Every legend hides a secret.
33,862365496661999625,"RT transformers: They\u2019re never a part of the history books, but they\u2019ve definitely made history."
34,862365468618870785,RT SuperheroPOLL: #Transformers posters\n
35,862365453687107585,RT transformers: Every legend hides a secret.
