,tweet_id,text
0,862380276126822401,"May 9 - Five policemen, an additional district magistrate and several rioters were injured in clashes in #UP."
1,862378032954298375,Stay #cool this #summer NEWMILLIE #deli #icecream #icey #hersheys #stocked #up
2,862377345444917250,#good to #see #Airlander is #up in #air again. #great #sight while #flying over the #house.
3,862376769147588608,"Up, #up and away!"
4,862376325524279296,U r the one and only do this #ajith sir...#never #ever #give #up...
5,862375730554048512,dirtiest sex story #up sex videos
6,862375228550270976,#fnind #UP #Page of #Focus #News of 11th May 2017 edition at
7,862373593770065928,Up-A-Cup - Natural Breast Enhancement   #Up-A-Cup
8,862373583305265153,#shoutout the my #homegirl princesspoppins for #braiding ya #boy #up #growth #naturalhair #afro
9,862372535219781632,I thought it was badass when kendrick said he was tired of Photoshop but used every other Adobe product in his video.
10,862372240620494848,New in town. So cute.
11,862371142086131718,"#Mughals were Invaders, sooner we accept this one truth, all problems of Bharat, will vanish,\"" - #UP #CM #Yogi."
12,862370457156288519,conradlogan mansfieldtownfc Good luck with the Stags Conrad. #up the dale
13,862370327518601216,Summer of 2017
14,862366645326454784,ShefVaidya Looks like #Mamatadi has not realised the dangers of #votebankpolitics that devoured #sp #bsp in #up
15,862366610346180615,$PIF Great results and great execution by mgmt! Continuing to be a cash cow
16,862365975932538881,IndiaToday gauravcsawant yadavakhilesh  #AmitShah narendramodi  won the heart of #UP #voters they r from Gujara
17,862365949969670145,Don't
18,862364754492481536,nude pictures of native girls from cambodia #up close pussy
19,862364664390451200,republic yadavakhilesh  insulted his father and mother this shameless person was butted out of #UP by #voters  fo
20,862364141444616192,"Sometimes, You Have To Get Knocked Down Lower Than You Have Ever Been To Stand Back Up Taller Than You Ever You Were"
21,862362468252655616,This month has been mad busy! Lets focus on Finishing this Week STRONG Everyone! //
22,862362412871278593,zac efron and vanessa hudgens in a sex shop #up pussy
23,862361873114701825,Let's go guys
24,862361564833349632,"Love this! Congratulations, soon-to-be 2017 grads! DisneyPixar #UP #Ellie #newgrads NovaOUS"
25,862360397436735488,"Media protecting Yogi, not covering deteriorating law and order situation in UP: Akhileshyadavakhilesh#Up"
26,862357493812305921,coolfunnytshirt Can #aap tell why #bjp won in #up where they were out of power and lost in #Punjab #Goa if they ca
27,862357422010241026,"If you have diseases, #back #up !! Lolz... #DontWantIt ... nasty butt!"
28,862356173265281024,Type of woman every nigga need
29,862352884079448064,Yes #AkhileshInsultsMartyrs And it simple reason for this he goes fustreate of election parfomance in #UP.
30,862352652105109507,"KPadmaRani1 CNNnews18 krishpachegonkr U really don't bother about ladies , if so.. wherz ur appreciation tweet f"
31,862352349511249920,#lake #lakebalboa #balboapark Yea boi getting his #photography #game #up #leemula #fanikofilmz
32,862350663488946176,beth s (castingqueenny) | those are hard core handles for #draft #beer #art #recycle #up-cycle
33,862350515451154433,"Alot of shit that i hold down, its time 'dat i bring right up"
34,862350028379234304,"I been ridin' through the city, they try to fvck my night up  LifeOfDesiigner"
35,862349660324802561,New Disney * Pixar frame available now
36,862349583472627712,"#Didyouknow - Johnsons #Volkswagen will be in the Bullring with the new #VolkswagenGolf, #Up and #Tiguan from tomo"
37,862349308171100166,#message on the #wall #lift #each #other #up #sanfrancisco #norcal #california  Mission
38,862348874073210880,Unexpected shot of mine haha  #clouds #skies #sun #sunset #up #above #shine #bright #nice
39,862346957762822146,republic They got the treatment they deserved #UP election 325 seats
40,862346030804815873,ManUtdInPidgin alameen__ Na God go punish the 3of them #up barcelona jare
41,862346028997062657,Floral Garden Keyhole Jumpsuit #up #chic #criss$55.00  outfy
42,862342760568934402,#up close anal red haired women sex
43,862342282133073920,EliteMilitia_ #BOSS #UP #ALLDAYEVERYDAY during #beach #week DISupdates
44,862341951844208641,VOLKSWAGEN up! 1.0 5 porte eco up! take up! BMT8.000  IVA esposta
45,862337404719509505,#make #her #smile from the #moment she
46,862337273685172224,"When a soldier joins #Army, he only belongs to #India not #UP #MP #Bihar or #Gujrat."
47,862337135143202816,"As 4 some 1 that can relate #ALWAYS BE able to endure #HARD TIMES, #TELL NO 1 OF UR SUFFERINGS #keep moving #UP its all u got"
48,862336674717630465,#up ballia porn  fucking video
49,862335432704634880,#Elections2017 Poetry like prose style site:BIG #win in #UP. India closer to 1 #party state
50,862333966837313537,CMOfficeUP UPNews360 myogiadityanath #UP Group Of #MuslimWomen In #Varanasi Says They Want To Get Rid Of
51,862333250693283840,#Bengal kind Cop beating at Cop's own den in #UP .. difference is by Goon of a Party which lost in Elec ..
52,862330895784660992,#up #SendMeGifts  #smoking#Liveme rico_087:
53,862330534684393472,#up ballia porn jamie little nude pics
54,862329682347347968,#Up to the Final Always Let'sgo!!#AlaMadridYNadaMas!! realmadrid MarceloM12 ToniKroos Benzema
55,862329064421543936,#CASTROBAR #Turn #Up #Drinks #Free Admission #Open 10 PM Hookah #Bottles #Specials. We are located at 104 Dyckman S
56,862328444155244545,#up ballia porn womensex tube
57,862326153792466949,"These cans are discontinued, so last pair available! #Hippie #PeaceSign #Earrings #Up-Cycled #PeaceTea  via Etsy"
58,862324347243036672,#up ballia porn indian anal porn sex
59,862324250480431104,BSP sacks Nasimuddin Siddiqui for anti-party activities -
60,862324109790892032,#salute COOLANDDRE  am on it gzzz stairs!!! Is the key to success #Up!!!
61,862323370532229122,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
62,862323321689579522,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
63,862322897649401857,Let's #wind #up with #today's #top #news from #South India! Watch #SouthernCircuit on ANN_Newsable
64,862322570053513216,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
65,862322326226030593,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
66,862322071728259073,Note to BTS .#face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
67,862322035631857664,TV9Telugu ncbn JaiTDP  Meeting  of #TERRORIST head #YSJAGAN with #PM already shared long back. #BJP screw #TDP.
68,862321956393242624,BIGBANG MY EVERYTHING ..#face #up #close #foto #dinner #night #jakarta #daebakcafe #korea
69,862321720312680451,INFINITE THE eye .Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe
70,862321544202244097,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
71,862321365793243136,Face Close Up .. #face #up #close #foto #dinner #night #jakarta #daebakcafe #korea #koreanfood
72,862321176114208768,Felicitation of #UP Cricketers by OfficialUPCA in #Kanpur. #Kudeep Yadav #SureshRaina ChetanChauhanCr NBTLucknow
