,tweet_id,text
0,862350661341655042,West Side Story By Leonard Bernstein vintage record
1,862345720426135556,Me and the only jerelbrown7  We've been with each other since December with #WestSideStory
2,862319986647470081,ArianaDeBose &amp; bcontethor fans:Enjoy this!!#ABronxTaleMusical#WestSideStory*star-crossed lovers*
3,862312562330914816,I feel pretty and witty and bright! See #westsidestory June 2-4! At Mayo Performing Arts Center For tix: See link
4,862310369079042048,MelanieCmusic LilPinkyLou Are you part of the gang?!? I would genuinely love it if your were #WestSideStory style
5,862287975853502464,Marking the start of #DementiaAwarenessWeek with a dementia-friendly screening of #WestSideStory  Find out more:
6,862277968462311425,"{ I like the island Manhattan }#westsidestory #revival #broadway  #karenolivo  New York, New"
7,862245335028047872,Gonna be doing the Mambo at Scottsdale Musical Theatre Company!
8,862227514739044355,Our faces before this week of rehearsals. #westsidestory #Munich #actorslife  Aparthotel Adagio
9,862166129866809344,Its EGOT winner #RitaMoreno! Somebody pinch me #onedayatatime #netflixfysee #tonymiros #westsidestory
10,862159758538805248,"I didn't believe in my dancing until I did \""West Side Story\"" #Sharklife #Pepe #WestSideStory #Tonight"
11,862137792662560769,The latest Korane PakDhe SenggOL !  Thanks to loetjoek
12,862096112215261191,#TCMParty #WestSideStory Very excited about this! CleveOrchestra severancehall
13,862077766027620354,In honor of #bernsteinat100 from the original Broadway cast of one of my favorite musicals ever
14,862069234251309057,Had a fantastic partnering class today with Kyle Weiler and carls_dickens! So #grateful.
15,862024761047736320,"Kickin' it with the coolest chicks I know! #WestSideStory #oobleeoo ( Lincoln Tunnel in New York, NJ)"
16,862020242788298753,Turntable turnt up on a Tuesday! #minturn #westsidestory #jummyjummy  Turntable Restaurant
17,862016498419859456,Everyone come and see #westsidestory at the palace theatre this summer!!!
18,861989959116476419,Final week in #Mnich!!
19,861989020062167040,"Favorite Films: #WestSideStory (1961) There's a place for us, A time and place for us. Hold my hand and..."
20,861986885337403394,Our first run through for #WestSideStory... Done! We're going LIVE this weekend! Get your tickets now at
21,861977230896967681,Break a leg to all our Senior School auditions this week for
22,861970157153005568,Thanks BroadwayBox for letting ArianaDeBose and I live out our #WestSideStory dreams! Love this whole album.
23,861969181700378624,#mtasbangkok #WestSideStory is coming to
24,861946476666257408,The ladies of WSS!! See #westsidestory at Mayo Performing Arts Center June 2-4! #wssatmpac #nj #nyc #njtheater For
25,861925574079643650,Good Luck to all our Senior students auditioning for West Side Story this week.
26,861867862503428097,Wheels up  #TakeOff #westsidestory continues thelosodavinci StayTuned100 juke_box_bully
27,861789800982040576,Russ Tamblyn is a goddamn national treasure.
28,861788148334030849,Same.
29,861785481037697025,Republicans must get stress nosebleeds from this movie.
30,861735011786956800,Alessandra and Alexandra! Come see #westsidestory at Mayo Performing Arts Center June 2-4! For tix: See link
31,861675593129013248,"This is gonna be my entire week, classical mode On! #WestSideStory #musictheatre #OCC #orchestra"
32,861660717346369538,"Much soprano hysteria on the back row singing #WestSideStory \""oh so pretty-ty\"". Such joyful music!"
33,861645181384138753,#Newsies #TheSoundOfMusic #WestSideStory and #SistersAct are all coming to Manila this year!!! I don't want to go out of town anymore! Haha
34,861579330253664256,My baby girl _janessaaa_ killing those dance moves at her play #westsidestory her passion is
35,861561613643632641,Part II of the #Uber Side Story  Maria's side of the story - #lehighvalley #WestSideStory #igbethlehem #niceguy
36,861516942955483136,listening to #westsidestory and choosing new #headshots from LondonHeadshot1
37,861455053294641152,Snuck a photo. #westsidestory  Walt Disney Concert Hall
38,861385932909445120,Whee!#prettydresses #westsidestory #dance #ballet #theatrdance #musicaltheatre #pirouette
39,861374049389342721,"\""It's an early version of '#WestSideStory'!\"" -Crow T. Robot, MST3K #301 (\""#CaveDwellers\""). #MST3K WatchComet"
40,861361925401198592,Sneak peek into my workspace in the pit for #westsidestory last show of week 3!   My new Eden Amplification D112...
41,861361316333731840,LOVE that my students came to watch our show #westsidestory last week at the #lamiradatheater!
42,861358329595035656,What a week
43,861354336688984065,Table read for West Side Story!
44,861354079565398016,Sneak peek into my workspace in the pit for #westsidestory last show of week 3! #uprightbass #musicaltheatre
45,861327633795219457,Since I can't afford to see #husbandguy #ToddGroves play with the Met Opera Orch tonight at 6:
46,861255897905070080,Fight call before our last show of the week. #westsidestory #Munich #DeutschesTheater
47,861141173552939008,Bloody great.  RafiMrGreen16 monsoonsoldier #WestSideStory
48,861117112890179584,"#sondheim fact39- In 57' he wrote lyrics for #WestSideStory, one of Broadway's most successful productions of all time."
49,861086786965053440,My favorite part of #WestSideStory
50,861077671085617152,.LanaParrilla I used to rewatch this again and again back in college omg!! It's been years! #WestSideStory #jets #sharks #1961
51,861077428055138304,rewatching coz i will never forget that LanaParrilla said she'd want to play #RitaMoreno's part n #WestSideStory w
52,861052551491444736,West Side Story with my Mama! #westsidestory #lamiradatheaterfortheperformingarts
53,861036400258330624,"\""Tony, when you come, use the back door...\"""
54,861032097485660161,Shreveport Symphony is tearing this music up!!   I cannot wait for the second half!  Finishing off with Bernstein!  #westsidestory
55,861026913694961665,Grant Gustin during his time as Baby John in West Side story!
56,860998672858976257,High school musical. #westsidestory  Wexford Collegiate School for the Arts
57,860974825191481344,This double show day as #Maria in #westsidestory at the theater_muc has me seeing double!!!
58,860970513253969920,West Side ghosts
59,860961430903955457,#WESTSIDESTORY OUR CREATIVE SPIRIT LIVES BEYOND OUR PHYSICAL BODY - TALENT SPRINGS ETERNAL cosmo
60,860954468636123136,Just finished my 130th performance of West Side Story!
61,860945185072697344,"See this theatre? Get in it. Two shows today, one tomorrow. Wed-Sun next week. #westsidestory"
62,860904039042744320,Iconic Film Locations in NYC: A photo essay
63,860893632278155264,Target + Walmart sitting in a treeK-I-S-S-I-N-GThis is
64,860883364055732225,"\""...and the bullets flying\"" #westsidestory #dontmesswithceci #dance #theatre #musicaltheatre"
65,860856785133023234,Rita Moreno's brown face confession will change the way you see #WestSideStory
66,860694171706904578,"#uprightbass abstract photos. Aka, waiting in the pit for the show to start. #westsidestory"
67,860675488133423105,EXCLUSIVE! TheRitaMoreno shares her thoughts on a #WestSideStory remake  #RitaMoreno
68,860637691842580480,POW! POW! Buy your tickets NOW! Dont wait! Heres the link:  #wssatmpac #westsidestory Mayo
69,860631473690423296,I LOVE zchowes!!!!!
70,860627031570219012,"#OTD in 1962, the #soundtrack to the #Oscar-winning #movie #WestSideStory begins 54 weeks on top of the billboard"
71,860616427526664192,i'm actually really excited for
72,860615436383256576,When you are at #springfest in #munich but have a performance of #westsidestory later so you can
73,860612721544273920,Jets vs Sharks #westsidestory #typematters #50words #handmadefont #sketchbook #sketch
74,860605237412941824,The latest Trumpet Players Hall of Fame News!
75,860598780965552130,"LParrillaNews_ Don't forget #Westsidestory, she will love to play Anita, like Rita Moreno did"
76,860597616907882496,#WestSideStory on the big screen &amp; performed live by your #ClevelandOrchestra at #SeveranceHall June 1-4. Tickets:
77,860583070302425089,"I wish I win the biggest jackpot in Lotto,cause I will be able 2 afford it I'll make Lana's dream come true play Anita"
78,860581111780392960,Watch out! Theres a wrong note in the #vibraphone part of #WestSideStory  Read my blog to s
