,tweet_id,text
0,862349810296274946,Found this old doodle of a scene from one of my favorite films
1,862348287965364227,"It's already Wednesday, now just need work to be over. #humpday #wednesday #youngfrankenstein\u2026"
2,861999075356549120,#MeettheCast! We are excited to have Melanie J. Comeau as one of our Featured Dancers in our upcoming production of\u2026
3,861954928461459458,The headshot board. \ud83d\udc9c\ud83d\udc9c\ud83d\udc9c\ud83d\udc9c\ud83c\udf1f\ud83c\udf1f\ud83c\udf1f\ud83c\udf1f\ud83c\udfad\ud83c\udfad\ud83c\udfad\ud83c\udfad #youngfrankenstein #theatrelife #stadiumtheatre  Stadium\u2026
4,861784818056646657,"\""IT'S ALIVE\"" Sorry Chuck. Couldn't help myself."
5,861734953029033984,RT SFHHOF: #MonsterMonday! Peter Boyle's original costume on a full sized figure from #YoungFrankenstein #horror #frankenstein #monster #c\u2026
6,861733451917123585,Where is he?! #hesloose #techweek #searcheachhillandvalley #themonster #youngfrankenstein\u2026
7,861687823644184577,RT SFHHOF: #MonsterMonday! Peter Boyle's original costume on a full sized figure from #YoungFrankenstein #horror #frankenstein #monster #c\u2026
8,861668398597648392,#MonsterMonday! Peter Boyle's original costume on a full sized figure from #YoungFrankenstein #horror #frankenstein\u2026
9,861605924980609024,He's loose!! #youngfrankenstein #stadiumtheatre #theatrelife #techweek #imissthisalready\u2026
10,861602481352175616,This picture of all of us though! \ud83d\ude0d\ud83d\udc9c\ud83c\udfad\ud83c\udf1f\u2728 #youngfrankenstein #theatrelife #stadiumtheatre\u2026
11,861563836188565504,"Sorry for those who didnt get to the #BarrowCivicTheatre these past 2 weekends, you missed a wonderful experience.\u2026"
12,861396828637605889,"\""Love it!\"" I will cherish this show forever! \ud83d\udc9c\ud83d\udc9c\ud83d\udc9c\ud83d\udc9c"
13,861305118876151808,My Siamese ancestor twin!!! \ud83d\ude0d\ud83d\udc9c\ud83c\udf1f\ud83c\udfad\ud83d\ude42 #stadiumtheatre #theatrelife #youngfrankenstein #onelasttime \u2026
