,tweet_id,text
0,862366978157273088,Theres always a little emotion behind every I dont care. ~ Unknown
1,862363326369738752,"It's Wilde Wednesday, Nick Wilde that is! #zootopia  Disney California Adventure Park"
2,862345992473018368,Happy Wednesday everyone!
3,862337350000574464,Weaselling[Story]
4,862332004720721921,Best friends! Best partner!
5,862330855859122176,"Midnight Resistance cover, from thumbnail to final piece"
6,862323176164007937,here we go
7,862321872377188353,Professional smutboy Roden is at it again with the sins and crimes #furry #workinprogress #digitalart #fanart
8,862307028391391233,Picking up where we left off!  Page 19 of my #Zootopia Civil War
9,862280100800217088,"\""If you don't try anything new, you will never fail !\""~"
10,862256813055631360,Spoiler Zootopia 2 ;)
11,862252610774073344,Graffiti : Gazelle - new clothing#Zootopia#Zootroplis #Disney#Gazelle#Art #Artwork #Fanart
12,862251144407547908,Happy 54th Birthday to Rich Moore! The director of Wreck-It Ralph and one of the directors of Zootopia. #RichMoore
13,862225891442675712,Roadtripping to #herveybay today shame about the weather but at least the company was good #zootopia #furry
14,862209913594007552,Watch Zootopia (2016) Free Online Link:
15,862209281764061184,Watch Zootopia (2016) on FlixanoStart Free Trial:
16,862200501445603328,"Disney question... if Judy Hopps and Nick Wilde fall in love and have babies, what would they be? Rabox? Fabbit? I need answers!"
17,862171524727529472,I'm watching Disney movie :3
18,862168399631106048,Watching #StevenUniverse to chill out because I don't have time to watch #Zootopia.
19,862163627587112961,Time to watch #Zootopia
20,862147276009025536,When people tell me not to let Syrian refugee children starve to death.
21,862136178027507717,Try Everything #zootopia by Zero Period Band #firstavemiddleschool
22,862119269856940037,Currently working on something with my new Tablet#Zootopia is still one of my favorite movies
23,862088183869313024,Graduation Take 2 Next stop: Police Academy  #Zootopia #thinblueline #masters
24,862072037665386498,I haven't mentioned how much I adore these two for a while. I adore these two. &lt;3333
25,862065910345064448,"Confession, Chapter 8 (Original by Peanut.K)[Comic]"
26,862063784717930496,"G+: #Zootopia: A wonderful #inspirational movie, a must watch."
27,862063739088109568,"G+: #Zootopia: A wonderful #inspirational movie, a must watch."
28,862063190187933696,"With the art exam tomorrow and our art class song, I believe its time for"
29,862057467324366848,Felony tax evasion? I don't think so.  #zootopia #judyhopps #cosplay   by EPJimLavery
30,862054956861448194,Interesting Facts About Zootopia
31,862047833876086784,I vote for #Zootopia for the Best Animated Feature Film Award at the #Oscars. Vote now! #LiveTheOscars
32,862046544798691328,Went to pick up my ByronPHoward #Zootopia print on my lunch from CyclopsPrints whose office is freaking awesome!
33,862037793551396869,"I've just found this gif and now I can't stop laughing... HEY, PRISCILLA"
34,862035703592611840,When Nick from Zootopia keeps booty bumping you when your trying to take a picture  #zootopia
35,862027837506691076,Never let them see that they get to you
36,862015340968017921,#furry #zootopia pogo is the Best
37,862013794742128640,Interesting Facts About Zootopia
38,862012879947616256,Everything You Missed in Zootopia! (by Crazy Nate)[Video]
39,862008143513047042,What ? 2500 followers ?
40,862002232954417153,"I love Finnick's expression here :P\""Yeah yeah, I'm cute...I know.\"" #Zootopia"
41,861996951340023809,Everyday I'm hustlin'! #Zootopia
42,861996155613401088,welldoitourway WildFlorida I just think of the sloths who work st the DMV in #zootopia
43,861974982234124291,Roses are (Not So) Different from a Study in Gold[Story Update][Story]
44,861969855997718528,When Disney and #Eurovision comes together...
45,861950933630111752,I almost got into a fight with three entirely different species of animal on the way to work.
46,861947446171242496,Join us this #MothersDay weekend on May 13 to watch #Zootopia on the big screen for FREE. More info -&gt;
47,861945886045327361,"Get out your dancing shoes &amp; best animal-inspired attire -- this Sat. is #Zootopia, presented by CitizensBank!"
48,861919064871981056,LL..This has gone way too far!! #zootopia #funnykidsGet it..fox + bunny=funny
49,861892341203730433,action game
50,861892116854833152,Some drawings when I was bored yesterday.
51,861884946025152512,The latest Disney Parks!
52,861882914493083649,"Im never going to be able to hear bunnies be called cute and not think of Judy ever again, even when it has nothing to do with"
53,861882578869133313,I'm ready to record new video about #Zootopia Crime Files ;)
54,861880353639862273,I love #Zootopia &amp; #Minecraft :-3
55,861839160604229633,Zootopia Official Sloth Trailer (2016) - Disney Animated Movie HDZootopia (2016)Watch:
56,861837760365174784,watched a few of my favorite Disney movies to close this busy Monday. #TheLittleMermaid #SleepingBeauty #Zootopia #Cinderella
57,861824088238587904,"Zootopia (2016) on #VidimovieTrailers, Clips &amp; Reviews:"
58,861809247826329600,Nick &amp; Judy living the highlife in #brisbane #australia #furry #furryfandom #dailyfox #zootopia #hilton
59,861808438732607492,"#zootopia nick,you are a good boy.really."
60,861794135023337472,"Another story within the #Zootopia Western, this time Clawhauser and Chief Bogo taking a stroll down the street."
61,861758123358523392,About to watch this #Zootopia movie. People told me it was good so I'm holding it to a high standard.
62,861755784799162373,Morning tuesday
63,861735717952774144,"And yes, I am re-watching #Zootopia."
64,861735637266948098,Am I the only one who ships Judy and Nick together?
65,861732650335125505,#zootopia #watercolor #doodle request - I asked if he had pants and was told no. Cropped becausereasons
66,861713922772025344,Change starts with you it starts with me it starts with all of us
67,861710195977846784,Interesting Facts About Zootopia
68,861693280324640769,Interesting Facts About Zootopia
69,861687659185549313,#Zootopia police department desk locked up and stowed away until its next needed
70,861669607190532096,Black Jack Part 3.1 (Original by rem289)[Comic]
71,861668124524937216,Young Judy Hopps is cute.
72,861667507626627072,#Zootopia had NO new media. NO merchandise. Yet it has returned to #2 on Tumblr.Disney DisneyZootopia PLEASE WE
73,861666036134924289,"#Zootopia climbed back to #2 spot on Tumblr.Disney, WHERE ARE THE MERCHANDISE.AND SEQUEL."
74,861648352701763584,Disneybounding as Nick Wilde and Judy Hopps today!  #zootopia #disneybound #judyhopps
75,861629579412336641,Zootopia (2016) Download Full Movie HDDownload Link:
76,861626442181787649,I vote for #Zootopia for the Best Animated Feature Film Award at the #Oscars. Vote now!
